PlayerID,PlayerName,TeamID,MatchesPlayed,MatchesWon,MatchesLost,TotalScore,MVPCount,WinRate,AverageScore,MatchHistory
P001,Alice Wong,T1,1,0,1,6,0,0.000000,6.000000,"Q1"
P003,Carol Tan,T1,1,0,1,6,0,0.000000,6.000000,"Q1"
P006,Frank Lee,T2,1,1,0,13,0,100.000000,13.000000,"Q1"
P009,Ivy Lau,T2,1,1,0,13,0,100.000000,13.000000,"Q1"
P004,David Lim,T1,1,0,1,6,0,0.000000,6.000000,"Q1"
P008,Henry Goh,T2,1,1,0,13,0,100.000000,13.000000,"Q1"
P002,Bob Chen,T1,1,0,1,6,0,0.000000,6.000000,"Q1"
P005,Eva Kumar,T1,1,0,1,6,0,0.000000,6.000000,"Q1"
P007,Grace Ng,T2,1,1,0,13,0,100.000000,13.000000,"Q1"
P010,Jack Tan,T2,1,1,0,13,0,100.000000,13.000000,"Q1"
P011,Kelly Ong,T3,1,0,1,1,0,0.000000,1.000000,"Q2"
P014,Noah Kim,T3,1,0,1,1,0,0.000000,1.000000,"Q2"
P016,Peter Yap,T4,1,1,0,13,0,100.000000,13.000000,"Q2"
P019,Sam Wong,T4,1,1,0,13,0,100.000000,13.000000,"Q2"
P013,Maya Singh,T3,1,0,1,1,0,0.000000,1.000000,"Q2"
P018,Rachel Teo,T4,1,1,0,13,0,100.000000,13.000000,"Q2"
P012,Liam Chow,T3,1,0,1,1,0,0.000000,1.000000,"Q2"
P015,Olivia Chen,T3,1,0,1,1,0,0.000000,1.000000,"Q2"
P017,Quinn Lee,T4,1,1,0,13,0,100.000000,13.000000,"Q2"
P020,Tina Lim,T4,1,1,0,13,0,100.000000,13.000000,"Q2"
P021,Uma Patel,T5,1,0,1,12,0,0.000000,12.000000,"Q3"
P024,Xavier Tan,T5,1,0,1,12,0,0.000000,12.000000,"Q3"
P026,Zara Ahmed,T6,1,1,0,13,0,100.000000,13.000000,"Q3"
P029,Chris Lim,T6,1,1,0,13,0,100.000000,13.000000,"Q3"
P023,Wendy Koh,T5,1,0,1,12,0,0.000000,12.000000,"Q3"
P028,Bella Tan,T6,1,1,0,13,0,100.000000,13.000000,"Q3"
P022,Victor Ng,T5,1,0,1,12,0,0.000000,12.000000,"Q3"
P025,Yvonne Lee,T5,1,0,1,12,0,0.000000,12.000000,"Q3"
P027,Adam Chong,T6,1,1,0,13,0,100.000000,13.000000,"Q3"
P030,Diana Wong,T6,1,1,0,13,0,100.000000,13.000000,"Q3"
P031,Ethan Ong,T7,1,0,1,7,0,0.000000,7.000000,"Q4"
P034,Hannah Chen,T7,1,0,1,7,0,0.000000,7.000000,"Q4"
P036,Julia Teo,T8,1,1,0,13,0,100.000000,13.000000,"Q4"
P039,Mike Tan,T8,1,1,0,13,0,100.000000,13.000000,"Q4"
P033,George Kim,T7,1,0,1,7,0,0.000000,7.000000,"Q4"
P038,Luna Koh,T8,1,1,0,13,0,100.000000,13.000000,"Q4"
P032,Fiona Lau,T7,1,0,1,7,0,0.000000,7.000000,"Q4"
P035,Ian Yap,T7,1,0,1,7,0,0.000000,7.000000,"Q4"
P037,Kevin Ng,T8,1,1,0,13,0,100.000000,13.000000,"Q4"
P040,Nina Lee,T8,1,1,0,13,0,100.000000,13.000000,"Q4"
